draw,alpha,beta_area_ri,p_cp,p_ri,delta_cp_minus_ri,odds_ratio_ri_cp
4350,-0.29576474,-1.9677937,0.4265931526788214,0.09418634095114536,0.33240681172767605,0.1397648795479092
4351,-0.39958337,-1.1490289,0.4014124438364963,0.17528678987001922,0.2261256539664771,0.31694440469394847
4352,-0.53837845,-0.82592306,0.36856487668197935,0.203542083564072,0.16502279311790735,0.43783066191219333
4353,-0.47058972,-0.8918082,0.3844766742946081,0.2038508538422921,0.18062582045231598,0.4099138759531687
4354,0.36406835,-2.7823228,0.5900249088891121,0.08179125312511736,0.5082336557639947,0.061894571564191515
4355,0.43225046,-2.4424436,0.6064109292628527,0.11813685489601719,0.48827407436683545,0.08694812522012334
4356,0.47840199,-2.8254002,0.617370457042526,0.08730466663008758,0.5300657904124384,0.05928492625378052
4357,0.37177543,-2.0039843,0.5918879151510393,0.1635279928276811,0.42835992232335823,0.1347971396422776
4358,0.38487625,-1.9210255,0.5950486547049498,0.177095757942505,0.41795289676244485,0.14645669375396458
4359,0.22532864,-1.8729165,0.556095017924082,0.16143522374200328,0.39465979418207875,0.15367481500446573
4360,0.17194789,-1.9781003,0.5428813716980255,0.14110378506268645,0.4017775866353391,0.13833177673512878
4361,0.21340267,-2.0066564,0.5531491164345717,0.14267426977728287,0.4104748466572888,0.13443742901085995
4362,0.20578637,-2.0295628,0.551265802915813,0.13898134803577872,0.41228445488003423,0.13139295359215658
4363,-0.079401422,-1.8115417,0.48016006695160196,0.13113697266627775,0.3490230942853242,0.163402025609844
4364,0.0026288108,-2.0201548,0.5006572023215257,0.11737505129227117,0.3832821510292545,0.13263493160345943
4365,-0.24543668,-1.7591483,0.4389470045206106,0.11872236839592094,0.32022463612468965,0.17219145685134823
4366,-0.85213791,-1.3930439,0.2989845745055528,0.09576588314248664,0.2032186913630662,0.2483182970241217
4367,-0.78473457,-1.7471183,0.3133003759989557,0.07365512528300287,0.23964525071595283,0.17427543004320664
4368,-0.43606414,-2.2720921,0.3926792044681717,0.062493787071568725,0.330185417396603,0.10309626660619318
4369,-0.39817783,-1.8458655,0.40175021443055287,0.09586451494715077,0.3058856994834021,0.15788860914495945
4370,-0.28344326,-2.3397915,0.4296098179310115,0.06765795816581505,0.36195185976519645,0.09634772463699919
4371,-0.41607863,-2.3494936,0.3974554792645874,0.05921319033068846,0.33824228893389896,0.09541746938963971
4372,-0.37400463,-2.327141,0.4075737173518894,0.06290578888764456,0.3446679284642449,0.09757431365161476
4373,-0.48246263,-1.6372496,0.3816707798832899,0.10719560831789628,0.27447517156539364,0.19451429937275655
4374,-0.57523023,-2.3197564,0.36003085457219874,0.052401949010711976,0.30762890556148675,0.09829752796587597
4375,-0.42493113,-1.7233178,0.39533737824712845,0.10449496739706382,0.2908424108500646,0.17847302671877877
4376,-0.41241631,-1.7878276,0.3983328771095711,0.09972858805962542,0.2986042890499457,0.16732326819444765
4377,-0.58954874,-1.6751406,0.3567384010010481,0.09408990217700743,0.2626484988240407,0.18728184580322285
4378,-0.6161326,-2.2269456,0.35066154137292754,0.05504021870135915,0.2956213226715684,0.10785736706955609
4379,-0.39623119,-1.5362717,0.40221817282751854,0.1264738067732317,0.27574436605428687,0.21518187031317557
4380,-0.020305858,-2.2228824,0.49492370992345713,0.09593865350869718,0.39898505641475995,0.10829650467121951
4381,-0.037414229,-2.0858223,0.4906475337088599,0.10685878294084207,0.38378875076801783,0.12420494443617572
4382,-0.57007201,-1.4304261,0.3612202090854998,0.11915063358638277,0.242069575499117,0.2392069744335099
